LISTA DE ARTICULOS
CODIGO    DESCRIPCION PRODUCTO                                        STOCK     PRECIO    NUM VENDIDOS  MONTO VENDIDO  NUM NO VENDIDOS  MONTO PERDIDO  
BIT-434   Campana Extractora modelo Glass                                 1      375.09          10       3750.90              5           1875.45
SSE-115   Refrigeradora  CoolStyle 311N Steel                             5     3243.58          19      61628.02              0              0.00
NMV-644   Lavadora Automatica                                             1     3272.48           4      13089.92              0              0.00
MLE-193   Cocina a gas Ingenious                                          1     2779.41           5      13897.05              0              0.00
YYK-309   Refrigeradora Door in Door                                      1     4079.44           6      24476.64              0              0.00
QVJ-982   Horno Microondas 0.7 p3                                         3     1352.76          13      17585.88              0              0.00
VZV-827   Refrigeradora Top Mount                                         4     1784.27          13      23195.51              0              0.00
HFC-845   Televisor Serie LED R555A                                       5     3736.75          21      78471.75              0              0.00
AVM-258   Cocina a gas Toscana                                            7     2831.23          27      76443.21              0              0.00
YUQ-590   Refrigeradora  CoolStyle 395N Steel                            10     1979.07          45      89058.15              0              0.00
FLJ-040   Parlantes portatiles SOUNDSHOOTER                               6     3703.37          21      77770.77              0              0.00
EUZ-452   Impresora Mutifuncional Led Color                               7     3623.88          25      90597.00              0              0.00
SPR-580   Dispensador de Agua                                             6      404.35          22       8895.70              0              0.00
WLL-607   Cocina Electronica Convencion                                   2     1525.04           0          0.00              3           4575.12
UWA-476   Autoradio MEX BT3150U                                           0     1191.39          35      41698.65             10          11913.90
YOT-530   Deshumedecedor DM-190H                                          7      941.73          32      30135.36              0              0.00
NSR-955   Cocina a gas Blogna                                             2     2591.44           9      23322.96              0              0.00
SJD-818   Refrigeradora  CoolStyle 281A Steel                             3     3387.75          12      40653.00              0              0.00
BCK-361   Tablets 10.1                                                    0     1872.53          13      24342.89              5           9362.65
ZAF-449   Tablet Cardle                                                   5      816.43          20      16328.60              0              0.00
OBI-353   Terma Milenium                                                  2     2960.56          12      35526.72              0              0.00
SNY-500   Cocina a gas Praga Quarzo                                       7     3297.09          24      79130.16              0              0.00
CSZ-863   Video Filmadora                                                 0     1713.57          12      20562.84              4           6854.28
TMJ-043   Lavadora EcoBubble                                              5     2400.79          22      52817.38              0              0.00
MTF-868   Impresora Monocromatica WorkForce M205                          7      971.59          25      24289.75              0              0.00
BMJ-772   Refrigeradora Side by Side                                      3      936.32          12      11235.84              0              0.00
MYC-756   Cocina a gas Leganza INOX                                       1     1506.80           7      10547.60              0              0.00
FCN-617   Televisor Plasma 60                                             2     4121.05          10      41210.50              0              0.00
ONB-903   Reproductor BLU-RAY 3D                                          1      653.67           3       1961.01              3           1961.01
VXS-438   Mouse Blue Tooth                                                7       60.11          26       1562.86              0              0.00
GLC-370   Video Proyector Power Lite 95                                   3      552.24          13       7179.12              0              0.00
OPT-996   Mini componente GPX88                                           6     1367.48          21      28717.08              0              0.00
PFD-286   Refrigeradora cap. 415 litros                                   6     2776.02          21      58296.42              0              0.00
KBY-991   Home Theater E4100                                              2     1101.08          10      11010.80              6           6606.48
KQQ-136   Impresora Laser EPSON                                           6     1139.56          25      28489.00              0              0.00
NSM-283   Cocina a gas FFG3053SL                                          4      936.81          13      12178.53              0              0.00
ICX-503   Cocina a gas Roma                                               5     1221.02          20      24420.40              0              0.00
LDR-510   Mini componente ESX9                                            8     2701.87          26      70248.62              0              0.00
PJG-338   Impresora Mutifuncional Inalambricar                            5     1067.80          19      20288.20              0              0.00
ISB-205   Camara fotografica 16MP                                         0     2976.43           0          0.00              0              0.00
UDR-957   Refrigeradora ECOTT 423 IXL                                     2      861.70          10       8617.00              6           5170.20
RAH-420   Cocina a gas Pro 6550 INOX                                      2      157.01           6        942.06              0              0.00
JDQ-505   Lavadora Modelo Aquamatic                                       0     1572.31           6       9433.86              1           1572.31
PPX-620   Aire acondicionado tipo split                                   1     2873.42           4      11493.68              0              0.00
XZG-521   Secadora Electrica FAQE7001LW                                   5      704.27          18      12676.86              0              0.00
VJI-529   Horno Empotrable Electrico                                      5     1102.67          23      25361.41              0              0.00
JCW-489   Conservadora Exibidora CMVE-250                                 3     2064.97          14      28909.58              0              0.00
OTS-581   Galaxy Note 8.0                                                 0     2653.10           8      21224.80              3           7959.30
UTN-601   Autoradio XAV-601 BT                                            4      562.51          15       8437.65              0              0.00
TZY-323   Terma a gas                                                    14     2341.01          49     114709.49              0              0.00
TXM-139   Televisor LED FULL HD 3D                                        7     1092.95          33      36067.35              0              0.00
ADX-669   Refrigeradora cap. 220 litros                                   1     1239.38           2       2478.76              0              0.00
QRC-609   Camara de video EOS                                             0     1806.66          20      36133.20              9          16259.94
YJD-279   Cocina a gas Florencia                                          6     1028.43          20      20568.60              0              0.00
AHB-459   Reproductor DVD Portatil TV 7                                   1      685.50           5       3427.50              0              0.00
MMA-577   Congeladora Horizontal 252 Lts.                                 5     1780.30          20      35606.00              0              0.00
VCL-867   Cocina a gas Rubi 2                                             7      699.07          26      18175.82              0              0.00
JDC-028   Puntero Laser                                                   5       30.48          19        579.12              0              0.00
