   CODIGO MEDICO       TARIFA MEDICO
     50611              337.03
     15092              756.45
     60184              738.90
     90798              758.51
     80786              997.38
     70233              902.38
     89213              389.91
     90907              470.72
     60934              526.45
     14787              298.45
     60049              780.49
     70269              523.53
     53556              410.37
     70612              842.24
     64405              232.61
     90929              405.69
     70367              781.15
     18708              176.60
     80138              319.80
     35451              897.50
     70992              525.59
     49768              197.06
     33687              654.46
     70789               19.29
     18262              981.29
     14655              940.91
     80227              170.85
     34115              893.34
     80040                4.56
     25448              496.87
     40414               55.48
     90562              869.33
     91509              146.35
     30557              169.44
     20189              854.93
     30082              184.46
     50718              264.21
     52063              792.07
     80063              256.05
     19777              977.98
