LISTA DE ARTICULOS
CODIGO    DESCRIPCION PRODUCTO                                        STOCK     PRECIO    NUM VENDIDOS  MONTO VENDIDO  NUM NO VENDIDOS  MONTO PERDIDO  
BIT-434   Campana Extractora modelo Glass                                11      375.09           0          0.00              0              0.00
SSE-115   Refrigeradora  CoolStyle 311N Steel                            24     3243.58           0          0.00              0              0.00
NMV-644   Lavadora Automatica                                             5     3272.48           0          0.00              0              0.00
MLE-193   Cocina a gas Ingenious                                          6     2779.41           0          0.00              0              0.00
YYK-309   Refrigeradora Door in Door                                      7     4079.44           0          0.00              0              0.00
QVJ-982   Horno Microondas 0.7 p3                                        16     1352.76           0          0.00              0              0.00
VZV-827   Refrigeradora Top Mount                                        17     1784.27           0          0.00              0              0.00
HFC-845   Televisor Serie LED R555A                                      26     3736.75           0          0.00              0              0.00
AVM-258   Cocina a gas Toscana                                           34     2831.23           0          0.00              0              0.00
YUQ-590   Refrigeradora  CoolStyle 395N Steel                            55     1979.07           0          0.00              0              0.00
FLJ-040   Parlantes portatiles SOUNDSHOOTER                              27     3703.37           0          0.00              0              0.00
EUZ-452   Impresora Mutifuncional Led Color                              32     3623.88           0          0.00              0              0.00
SPR-580   Dispensador de Agua                                            28      404.35           0          0.00              0              0.00
WLL-607   Cocina Electronica Convencion                                   2     1525.04           0          0.00              0              0.00
UWA-476   Autoradio MEX BT3150U                                          35     1191.39           0          0.00              0              0.00
YOT-530   Deshumedecedor DM-190H                                         39      941.73           0          0.00              0              0.00
NSR-955   Cocina a gas Blogna                                            11     2591.44           0          0.00              0              0.00
SJD-818   Refrigeradora  CoolStyle 281A Steel                            15     3387.75           0          0.00              0              0.00
BCK-361   Tablets 10.1                                                   13     1872.53           0          0.00              0              0.00
ZAF-449   Tablet Cardle                                                  25      816.43           0          0.00              0              0.00
OBI-353   Terma Milenium                                                 14     2960.56           0          0.00              0              0.00
SNY-500   Cocina a gas Praga Quarzo                                      31     3297.09           0          0.00              0              0.00
CSZ-863   Video Filmadora                                                12     1713.57           0          0.00              0              0.00
TMJ-043   Lavadora EcoBubble                                             27     2400.79           0          0.00              0              0.00
MTF-868   Impresora Monocromatica WorkForce M205                         32      971.59           0          0.00              0              0.00
BMJ-772   Refrigeradora Side by Side                                     15      936.32           0          0.00              0              0.00
MYC-756   Cocina a gas Leganza INOX                                       8     1506.80           0          0.00              0              0.00
FCN-617   Televisor Plasma 60                                            12     4121.05           0          0.00              0              0.00
ONB-903   Reproductor BLU-RAY 3D                                          4      653.67           0          0.00              0              0.00
VXS-438   Mouse Blue Tooth                                               33       60.11           0          0.00              0              0.00
GLC-370   Video Proyector Power Lite 95                                  16      552.24           0          0.00              0              0.00
OPT-996   Mini componente GPX88                                          27     1367.48           0          0.00              0              0.00
PFD-286   Refrigeradora cap. 415 litros                                  27     2776.02           0          0.00              0              0.00
KBY-991   Home Theater E4100                                             12     1101.08           0          0.00              0              0.00
KQQ-136   Impresora Laser EPSON                                          31     1139.56           0          0.00              0              0.00
NSM-283   Cocina a gas FFG3053SL                                         17      936.81           0          0.00              0              0.00
ICX-503   Cocina a gas Roma                                              25     1221.02           0          0.00              0              0.00
LDR-510   Mini componente ESX9                                           34     2701.87           0          0.00              0              0.00
PJG-338   Impresora Mutifuncional Inalambricar                           24     1067.80           0          0.00              0              0.00
ISB-205   Camara fotografica 16MP                                         0     2976.43           0          0.00              0              0.00
