LIBROS
  Codigo    Titulo                                                                          Autor                                   Precio    Suma Calificaciones Vendidos  Ranking   
  SFR1226   Ana la de las tejas verdes                                                      Lucy Maud Montgomery                    186.05    91                  1         4         
  QHZ8547   Adios a las armas                                                               Hernest Hemingway                       192.79    89                  1         4         
  CMP1150   Don Quijote de la Mancha                                                        Miguel de Cervantes                     359.19    159                 2         4         
  CKR6798   El lobo estepario                                                               Hermann Hesse                           53.54     77                  1         4         
  VOI0019   El evangelio segun Jesucristo                                                   Jose Saramago                           344.64    79                  1         4         
  JZU0977   El alquimista                                                                   Paulo Coelho                            50.93     82                  1         4         
  RLQ7170   El tango de la guardia vieja                                                    Arturo Perez-Reverte                    295.67    171                 2         4         
  MBB0685   El capitan Alatriste                                                            Arturo Perez-Reverte                    253.85    97                  1         4         
  KLV1872   Orgullo y prejuicio                                                             Jane Austen                             166.42    98                  1         4         
  YKQ9278   Alicia en el pais de las maravillas                                             Lewis Carroll                           104.54    84                  1         4         
  LDL2628   Harry Potter y el caliz de fuego (Harry Potter 4)                               J.K. Rowling                            326.78    90                  1         4         
  IMC3155   Los pilares de la tierra                                                        Ken Follett                             221.79    87                  1         4         
  VFI8064   A sangre fria                                                                   Truman Capote                           269.17    172                 2         4         
  ELC8965   Las aventuras de Rocambole                                                      Ponson Du Terrail                       144.29    78                  1         4         
  QYH7021   Historia del siglo XX: 1914-1991                                                Eric Hobsbawm                           59.37     90                  1         4         
  RII8346   Las dos Dianas                                                                  Alejandro Dumas                         158.65    92                  1         4         
  EDQ0577   Las aventuras de Pinocho                                                        Carlo Collodi                           82.97     91                  1         4         
  ZQD4253   Harry Potter y el misterio del principe ( Harry Potter 6)                       J. K. Rowling                           117.19    75                  1         4         
  BSX2922   Una historia de Espania                                                         Arturo Perez-Reverte                    141.33    97                  1         4         
  JJV7549   Los hombres que no amaban a las mujeres                                         Stieg Larsson                           132.73    84                  1         4         
  JSM8271   La Odisea                                                                       Homero                                  304.10    235                 3         4         
  CJN4376   Harry Potter y la camara secreta (Harry Potter 2)                               J. K. Rowling                           20.25     78                  1         4         
  XJT3661   Las aventuras de Tom Sawye                                                      Mark Twain                              102.81    91                  1         4         
  ULM8751   La sumisa                                                                       Fiodor Dostoyevski                      259.84    99                  1         4         
  VDL9379   Los juegos del hambre                                                           Suzanne Collins                         308.73    93                  1         4         
  ZLE2920   Historia de la Edad Media                                                       Indro Montanelli                        222.63    175                 2         4         
  NFP3266   Sabotaje                                                                        Arturo Perez-Reverte                    101.02    162                 2         4         
  DPZ8059   El hombre que pudo reinar                                                       Rudyard Kipling                         326.37    91                  1         4         
  CST1133   Inferno                                                                         Dan Brown                               278.38    160                 2         4         
  EJE8138   Yawar fiesta                                                                    Jose Maria Arguedas                     336.76    170                 2         4         
  KVL6246   La edad media - barbaros - cristianos y musulmanes                              Umberto Eco                             38.27     194                 2         4         
  NEO9165   Emperador de Roma                                                               Mary Beard                              41.71     92                  1         4         
  MWB2923   Mudlarking                                                                      Lara Maiklem                            281.28    60                  1         3         
  MEH2993   Hijos de un tiempo perdido                                                      Jose Maria Bermudez de Castro           125.48    58                  1         3         
  OBD2849   El invierno del mundo                                                           Ken Follett                             170.91    58                  1         3         
  BHD6079   Zorba el griego                                                                 Nikos Kazantzakis                       173.67    74                  1         3         
  HGN9910   La ciudad y los perros                                                          Mario Vargas Llosa                      190.86    120                 2         3         
  IPE3429   Sidi                                                                            Arturo Perez-Reverte                    360.75    70                  1         3         
  LRV5687   La guerra del fin del mundo                                                     Mario Vargas Llosa                      164.06    62                  1         3         
  JNC0786   Mi isla                                                                         Elisabet Benavent                       24.53     54                  1         3         
  ECT0289   Juego de tronos                                                                 George R.R.Martin                       235.18    63                  1         3         
  OQK1590   Cometas en el cielo                                                             Khaled Hosseini                         369.96    61                  1         3         
  KGO1734   Una historia del mundo                                                          Andrew Marr                             256.90    161                 3         3         
  EEJ4830   El Principito                                                                   Antoine de Saint-Exupery                314.97    114                 2         3         
  FWP8469   Justine o los infortunios                                                       Charles Dickens                         132.76    56                  1         3         
  FBO8724   El pendulo de Foucault                                                          Umberto Eco                             78.33     52                  1         3         
  TVR7016   El corazon de las tinieblas                                                     Joseph Conrad                           254.93    71                  1         3         
  ZOY6470   El viejo y el mar                                                               Hernest Hemingway                       88.69     107                 2         3         
  CLG5566   Pantaleon y las visitadoras                                                     Mario Vargas Llosa                      253.85    65                  1         3         
  IUI3314   El coronel no tiene quien le escriba                                            Gabriel Garcia Marquez                  103.39    58                  1         3         
  ZYF6683   Harry Potter y la Orden del Fenix ( Harry Potter 5)                             J. K. Rowling                           166.96    111                 2         3         
  HPP3360   El pintor de batallas                                                           Arturo Perez-Reverte                    231.92    282                 4         3         
  ICU6090   La fiesta del chivo                                                             Mario Vargas Llosa                      358.24    50                  1         3         
  DDQ0721   En busca del tiempo perdido                                                     Marcel Proust                           214.57    120                 2         3         
  ALH8812   Guerra y Paz                                                                    Leon Tolstoi                            37.06     144                 2         3         
  WHU1288   La hija italiana                                                                Soraya Lane                             206.44    65                  1         3         
  QKH2262   Fiesta                                                                          Hernest Hemingway                       105.11    121                 2         3         
  QQQ4712   Nuestra Seniora de Paris                                                        Victor Hugo                             346.01    53                  1         3         
  VPN5351   El Amante                                                                       Ana Maria Moix                          33.79     67                  1         3         
  HWM4049   Romper el circulo                                                               Colleen Hoover                          54.57     120                 2         3         
  SQB7146   Cronica de una muerte anunciada                                                 Gabriel Garcia Marquez                  159.23    206                 3         3         
  HVZ1228   El husar                                                                        Arturo Perez-Reverte                    150.41    62                  1         3         
  VFZ9435   El olor de la Edad Media                                                        Javier Traite                           302.84    299                 5         3         
  VMW6915   Travesuras de la ninia mala                                                     Mario Vargas Llosa                      136.85    263                 4         3         
  YJI3961   Cien anios de soledad                                                           Gabriel Garcia Marquez                  48.12     122                 2         3         
  UXZ2187   Los 7 habitos de la gente altamente efectiva                                    Stephen R. Covey                        119.31    169                 3         3         
  MNL3677   El Hobbit                                                                       J.R.R. Tolkien                          198.53    126                 2         3         
  VSG3432   Bajo bandera negra                                                              David Cordingly                         56.14     266                 4         3         
  NEW1762   Territorio comanche                                                             Arturo Perez-Reverte                    155.89    105                 2         3         
  DEK2757   En llamas                                                                       Suzanne Collins                         337.07    160                 3         3         
  KBF4088   Harry Potter y el prisionero de Azkaban (Harry Potter 3)                        J.K. Rowling                            269.58    67                  1         3         
  YZV6954   Corazon de las tinieblas                                                        Joseph Conrad                           155.63    184                 3         3         
  DVL7760   Falco                                                                           Arturo Perez-Reverte                    27.20     101                 2         3         
  IBP7411   Nunca                                                                           Ken Follett                             109.00    61                  1         3         
  CTW5846   El medievo cristiano                                                            Mario Merlino                           313.44    112                 2         3         
  IMK4892   La tabla de Flandes                                                             Arturo Perez-Reverte                    62.98     183                 3         3         
  ILG7766   Iliada                                                                          Homero                                  136.58    70                  1         3         
  UEJ1235   Grandes esperanzas                                                              Charles Dickens                         237.49    147                 2         3         
  UDS2730   Los Nibelungos                                                                  Anonimo                                 322.91    146                 2         3         
  GDA4236   Gente normal                                                                    Sally Rooney                            246.62    56                  1         3         
  BZY0235   Fausto                                                                          Johann Wolfgang Von Goethe              254.21    262                 5         3         
  PQZ1316   La Eneida                                                                       Virgilio                                347.98    287                 5         3         
  BXE0974   Los viajes de Gulliver                                                          Jonathan Swift                          248.60    111                 2         3         
  KSX7995   El simbolo perdidoi                                                             Dan Brown                               58.39     104                 2         3         
  FNM6936   Divina comedia                                                                  Dante Alighieri                         21.84     101                 2         3         
  WYE2119   El asedio                                                                       Arturo Perez-Reverte                    227.12    150                 3         3         
  OCI8959   David Copperfield                                                               Charles Dickens                         190.16    115                 2         3         
  QCA9584   Dr. Jekyll y Mr. Hyde                                                           Robert Louis Stevenson                  212.16    149                 2         3         
  WWT1581   La piel del tambor                                                              Arturo Perez-Reverte                    97.98     186                 3         3         
  TBZ2657   Olalla                                                                          Robert Louis Stevenson                  259.74    104                 2         3         
  IFL0150   Romeo y Julieta                                                                 William Shakespeare                     193.17    155                 3         3         
  RSK1164   El amor en los tiempos del colera                                               Gabriel Garcia Marquez                  144.93    198                 3         3         
  JZC7527   El tambor de hojalata                                                           Gunter Grass                            220.33    193                 3         3         
  XTM9385   El mundo                                                                        Simon Sebag Montefiore                  155.63    29                  1         2         
  QVX9089   Madame Bovary                                                                   Gustave Flaubert                        43.74     30                  1         2         
  ETZ8565   Confesiones de una mascara                                                      Yukio Mishima                           339.31    33                  1         2         
  XCC4070   El italiano                                                                     Arturo Perez-Reverte                    242.41    51                  2         2         
  SPM4763   Eva                                                                             Arturo Perez-Reverte                    165.44    49                  1         2         
  AGQ7769   La Flecha Negra                                                                 Robert Louis Stevenson                  241.33    49                  1         2         
  OBH4691   Crimen y castigo                                                                Fiodor Dostoyevski                      34.78     37                  1         2         
  IIM5175   Diamantes y pedernales                                                          Jose Maria Arguedas                     69.02     64                  2         2         
  ILA4795   La ladrona de libros                                                            Markus ZusaK                            212.33    36                  1         2         
  EHX6253   La isla de las tormentas                                                        Ken Follett                             185.52    39                  1         2         
