Archivo de Medicos
        Codigo del Medico         Tarifa
                    50611         337.03
                    15092         756.45
                    60184         738.90
                    90798         758.51
                    80786         997.38
                    70233         902.38
                    89213         389.91
                    90907         470.72
                    60934         526.45
                    14787         298.45
                    60049         780.49
                    70269         523.53
                    53556         410.37
                    70612         842.24
                    64405         232.61
                    90929         405.69
                    70367         781.15
                    18708         176.60
                    80138         319.80
                    35451         897.50
                    70992         525.59
                    49768         197.06
                    33687         654.46
                    70789          19.29
                    18262         981.29
                    14655         940.91
                    80227         170.85
                    34115         893.34
                    80040           4.56
                    25448         496.87
                    40414          55.48
                    90562         869.33
                    91509         146.35
                    30557         169.44
                    20189         854.93
                    30082         184.46
                    50718         264.21
                    52063         792.07
                    80063         256.05
                    19777         977.98


Archivo de Medicinas
    Codigo de la Medicina         Precio
                    60509          58.65
                    73972          54.40
                    94429          52.70
                    43709          78.20
                    82469          60.35
                    93578          55.25
                    26484          29.75
                    95196          62.05
                    65667          61.20
                    94415          68.85
                    11370           2.55
                    49644          73.95
                    76238          56.95
                    76596           9.35
                    48244          25.50
                    34070          73.10
                    70226          39.95
                    30220          39.95
                    88681          53.55
                    40645           4.25
                    77358          61.20
                    41995          25.50
                    90198          44.20
                    77466           5.95
                    61508           4.25
                    22842          47.60
                    53166           5.95
                    54692          28.90
                    85865           8.50
                    16055          45.90
                    22553          39.10
                    31311          65.45
                    43633          39.10
                    31389          52.70
                    79996          31.45
                    48039          11.90
                    16299          49.30
                    26506          28.05
                    89325          79.05
                    55701          46.75
                    16681          22.10
                    27016          51.00
                    85325          56.10
                    30428          19.55
                    15098          81.60
                    42861          23.80
                    13364          13.60
                    86451          21.25
                    32486          24.65
                    77203          80.75
                    30007           0.85
                    65536           1.70
                    84771          39.10
                    81695          15.30
                    49756          52.70
                    58200          56.10
                    89839          73.95
                    53084           0.85
                    61039          78.20
                    36822           9.35
                    24522          43.35
                    37007          47.60
                    17845           5.10
                    19397          37.40
                    45814          35.70
                    49157          66.30
                    72939          76.50
                    26920          45.05
                    31883          67.15
                    64347          65.45
                    30430          22.10
                    38648          69.70
                    59121          81.60
                    41379           1.70
                    42053          10.20
                    16359          75.65
                    17645          22.95
                    33276          11.05
                    98679          41.65
                    86828          32.30
                    95540          28.05
                    94459          53.55
                    60888           7.65
                    26754          68.00
                    79189          73.10
                    81333          40.80
                    33311          20.40
                    62302          41.65
                    72495          43.35
                    16813           5.95
                    36711          84.15
                    55021          82.45
                    34080          60.35
                    36622          57.80
                    72969          58.65
                    40997          41.65
                    67415          52.70
                    70024          68.85
                    22232          69.70
                    33390          28.90
                    58252          34.85
                    86476          11.05
                    96881           7.65
                    79851          84.15
                    30796          54.40
                    73174          41.65
                    76360          32.30
                    52072          63.75
                    68539           5.10
                    14075           9.35
                    53200          68.85
                    92628          45.90
                    47734          39.10
                    46919           5.95
                    57505          43.35
                    34027          79.05
                    96031          45.90
                    42856          10.20
                    48557          59.50
                    65985          79.90
                    41403          43.35
                    24733          59.50
                    31189          40.80
                    28219          82.45
                    28409           4.25
                    80830          78.20
                    84766          79.90
                    97465           4.25
                    30690          41.65
                    25684          84.15
                    84555           4.25
                    72061          51.00
                    55439          72.25
                    92517          11.90
                    37549          44.20
                    43222          11.05
                    92560          28.90
                    81821          61.20
                    51148          56.10
                    39088          11.90
                    74680          56.10
                    85641          28.90
                    27447          59.50
                    61295          84.15
                    44253          36.55
                    57036          38.25
                    22306          76.50
                    53846          47.60
                    63555          43.35
                    70303          72.25
                    36649          79.05
                    96554           4.25
                    86681           8.50
                    44215          33.15
                    62008          17.85
                    68610          51.85
                    55813          22.95
                    50450          74.80
                    67784          73.95
                    82528          19.55
                    28892          26.35
                    86158          47.60
                    77534          38.25
                    81960          81.60
                    60086          23.80
                    70225          47.60
                    83801          37.40
                    83510          22.95
                    11592          68.00
                    47697          14.45
                    59395          16.15
                    60685          79.90
                    58259          85.00
                    17790          17.00
                    34066          51.85
                    70113          30.60
                    14962          46.75
                    91282           6.80
                    76247          59.50
                    12388          76.50
                    80839          51.00
                    70807          22.95
                    70950          45.05
                    88994          39.10
                    90300          40.80
                    26360           8.50
                    46000          50.15
                    61211          78.20
                    89528          13.60
                    58036          33.15
                    39779          85.00
                    91653          40.80
                    49685          45.05
                    36208          63.75
                    30228          12.75
                    33200          76.50
                    18672          15.30
                    17804          10.20
                    68346          10.20
                    75565          46.75
                    57269          34.00
                    28992          64.60
                    70116          23.80
                    68730           0.85
                    88266          73.95
                    98261          70.55
                    40862          76.50
                    68860          59.50
                    39172          41.65
                    74924          37.40
                    81062           9.35
